[segmentationTreeThrust.exe] starting...

MapSMtoCores undefined SM 3.5 is undefined (please update to the latest SDK)!
GPU Device 0: "GeForce GTX 780" with compute capability 3.5

* Building segmentation tree... done in 70636.1 (ms)
* Dumping levels for each tree...

[segmentationTreeThrust.exe] test results...
PASSED

> exiting in 3 seconds: 3...2...1...done!

======== Warning: Metric "branch_efficiency" cannot be found on device 0.
==6568== NVPROF is profiling process 6568, command: segmentationTreeThrust.exe
==6568== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6568== Profiling application: segmentationTreeThrust.exe
==6568== Profiling result:
==6568== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 780 (0)","void thrust::detail::backend::cuda::detail::b40c_thrust::ScanScatterDigits<unsigned int, unsigned int, int=2, int=4, int=8, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>>(bool*, int*, unsigned int*, unsigned int, unsigned int*, unsigned int, thrust::detail::backend::cuda::detail::b40c_thrust::CtaDecomposition)",9,"inst_replay_overhead","Instruction Replay Overhead",0.243164,0.420046,0.314623
"GeForce GTX 780 (0)","void thrust::detail::backend::cuda::detail::b40c_thrust::ScanScatterDigits<unsigned int, unsigned int, int=2, int=4, int=8, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>>(bool*, int*, unsigned int*, unsigned int, unsigned int*, unsigned int, thrust::detail::backend::cuda::detail::b40c_thrust::CtaDecomposition)",9,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 780 (0)","void thrust::detail::backend::cuda::detail::b40c_thrust::ScanScatterDigits<unsigned int, unsigned int, int=2, int=4, int=8, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>>(bool*, int*, unsigned int*, unsigned int, unsigned int*, unsigned int, thrust::detail::backend::cuda::detail::b40c_thrust::CtaDecomposition)",9,"local_replay_overhead","Local Memory Cache Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 780 (0)","void thrust::detail::backend::cuda::detail::b40c_thrust::ScanScatterDigits<unsigned int, unsigned int, int=2, int=4, int=8, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>>(bool*, int*, unsigned int*, unsigned int, unsigned int*, unsigned int, thrust::detail::backend::cuda::detail::b40c_thrust::CtaDecomposition)",9,"cf_executed","Executed Control-Flow Instructions",24,90392,15004
"GeForce GTX 780 (0)","void thrust::detail::backend::cuda::detail::b40c_thrust::ScanScatterDigits<unsigned int, unsigned int, int=2, int=4, int=8, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>>(bool*, int*, unsigned int*, unsigned int, unsigned int*, unsigned int, thrust::detail::backend::cuda::detail::b40c_thrust::CtaDecomposition)",9,"inst_executed","Instructions Executed",179,2011462,311777
"GeForce GTX 780 (0)","void thrust::detail::backend::cuda::detail::b40c_thrust::ScanScatterDigits<unsigned int, unsigned int, int=2, int=4, int=8, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>>(bool*, int*, unsigned int*, unsigned int, unsigned int*, unsigned int, thrust::detail::backend::cuda::detail::b40c_thrust::CtaDecomposition)",9,"inst_issued","Instructions Issued",223,2820521,436321
"GeForce GTX 780 (0)","void thrust::detail::backend::cuda::detail::b40c_thrust::ScanScatterDigits<unsigned int, unsigned int, int=2, int=4, int=8, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>>(bool*, int*, unsigned int*, unsigned int, unsigned int*, unsigned int, thrust::detail::backend::cuda::detail::b40c_thrust::CtaDecomposition)",9,"atomic_replay_overhead","Atomic Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 780 (0)","void thrust::detail::backend::cuda::detail::b40c_thrust::RakingReduction<unsigned int, unsigned int, int=2, int=4, int=8, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>>(bool*, int*, unsigned int*, unsigned int, thrust::detail::backend::cuda::detail::b40c_thrust::CtaDecomposition)",9,"inst_replay_overhead","Instruction Replay Overhead",0.056582,0.173730,0.110984
"GeForce GTX 780 (0)","void thrust::detail::backend::cuda::detail::b40c_thrust::RakingReduction<unsigned int, unsigned int, int=2, int=4, int=8, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>>(bool*, int*, unsigned int*, unsigned int, thrust::detail::backend::cuda::detail::b40c_thrust::CtaDecomposition)",9,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 780 (0)","void thrust::detail::backend::cuda::detail::b40c_thrust::RakingReduction<unsigned int, unsigned int, int=2, int=4, int=8, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>>(bool*, int*, unsigned int*, unsigned int, thrust::detail::backend::cuda::detail::b40c_thrust::CtaDecomposition)",9,"local_replay_overhead","Local Memory Cache Replay Overhead",0.000000,0.000000,0.000000
