Sorting list of 4194304 floats
Sorting on GPU...done.
Sorting on CPU...done.
Checking result...PASSED.
GPU iterations: 1
Average CPU execution time: 976.075317 ms
Average GPU execution time: 306.411865 ms
    - Upload		: 130.792038 ms
    - Download		: 11.519163 ms
    - Bucket sort	: 81.275574 ms
    - Merge sort	: 225.136292 ms
Using device 0: GeForce GTX 580
==2108== NVPROF is profiling process 2108, command: MGST.exe
==2108== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==2108== Profiling application: MGST.exe
==2108== Profiling result:
==2108== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 580 (0)","mergeSortFirst(float4*, int)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 580 (0)","mergeSortFirst(float4*, int)",1,"inst_executed","Instructions Executed",1147371,1147371,1147371
"GeForce GTX 580 (0)","mergeSortFirst(float4*, int)",1,"atomic_replay_overhead","Atomic Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 580 (0)","mergeSortFirst(float4*, int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.010510,0.010510,0.010510
"GeForce GTX 580 (0)","mergeSortFirst(float4*, int)",1,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 580 (0)","mergeSortFirst(float4*, int)",1,"local_replay_overhead","Local Memory Cache Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 580 (0)","mergeSortFirst(float4*, int)",1,"cf_issued","Issued Control-Flow Instructions",65568,65568,65568
"GeForce GTX 580 (0)","mergeSortFirst(float4*, int)",1,"cf_executed","Executed Control-Flow Instructions",65568,65568,65568
"GeForce GTX 580 (0)","mergeSortFirst(float4*, int)",1,"inst_issued","Instructions Issued",1159430,1159430,1159430
"GeForce GTX 580 (0)","mergepack(float*, float*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 580 (0)","mergepack(float*, float*)",1,"inst_executed","Instructions Executed",2723632,2723632,2723632
"GeForce GTX 580 (0)","mergepack(float*, float*)",1,"atomic_replay_overhead","Atomic Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 580 (0)","mergepack(float*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.123902,0.123902,0.123902
"GeForce GTX 580 (0)","mergepack(float*, float*)",1,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.052589,0.052589,0.052589
"GeForce GTX 580 (0)","mergepack(float*, float*)",1,"local_replay_overhead","Local Memory Cache Replay Overhead",0.000000,0.000000,0.000000
