CUDA BarnesHut v3.1 [Fermi]
Copyright (c) 2013, Texas State University-San Marcos. All rights reserved.
configuration: 10000 bodies, 1000 time steps
runtime: 169.7842 s  ( 14781.1  56642.2  15380.4  15153.6  47860.5  16214.1 ) = 166031.9 ms
runtime: 318.2189 s  ( 32727.7  114101.1  33330.9  33250.3  66146.4  34796.7 ) = 314353.2 ms
runtime: 676.4325 s  ( 76382.4  253116.6  77868.6  76674.4  108774.8  79440.3 ) = 672257.1 ms
-2.26e-001 -5.63e-002 6.48e-002
==4332== NVPROF is profiling process 4332, command: LoneStar_BH.exe 10000 1000 0
==4332== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4332== Profiling application: LoneStar_BH.exe 10000 1000 0
==4332== Profiling result:
==4332== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 580 (0)","ClearKernel1(int, int, int volatile *)",3000,"branch_efficiency","Branch Efficiency",99.971631%,99.971631%,99.971631%
"GeForce GTX 580 (0)","ClearKernel1(int, int, int volatile *)",3000,"inst_executed","Instructions Executed",22229,22229,22229
"GeForce GTX 580 (0)","ClearKernel1(int, int, int volatile *)",3000,"atomic_replay_overhead","Atomic Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 580 (0)","ClearKernel1(int, int, int volatile *)",3000,"inst_replay_overhead","Instruction Replay Overhead",0.102479,0.135319,0.123487
"GeForce GTX 580 (0)","ClearKernel1(int, int, int volatile *)",3000,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 580 (0)","ClearKernel1(int, int, int volatile *)",3000,"local_replay_overhead","Local Memory Cache Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 580 (0)","ClearKernel1(int, int, int volatile *)",3000,"cf_issued","Issued Control-Flow Instructions",3525,3525,3525
"GeForce GTX 580 (0)","ClearKernel1(int, int, int volatile *)",3000,"cf_executed","Executed Control-Flow Instructions",3525,3525,3525
"GeForce GTX 580 (0)","ClearKernel1(int, int, int volatile *)",3000,"inst_issued","Instructions Issued",24507,25237,24973
"GeForce GTX 580 (0)","IntegrationKernel(int, float, float, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *)",3000,"branch_efficiency","Branch Efficiency",99.912127%,99.912127%,99.912127%
"GeForce GTX 580 (0)","IntegrationKernel(int, float, float, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *)",3000,"inst_executed","Instructions Executed",15677,15677,15677
"GeForce GTX 580 (0)","IntegrationKernel(int, float, float, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *)",3000,"atomic_replay_overhead","Atomic Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 580 (0)","IntegrationKernel(int, float, float, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *)",3000,"inst_replay_overhead","Instruction Replay Overhead",0.333801,0.397015,0.353052
"GeForce GTX 580 (0)","IntegrationKernel(int, float, float, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *)",3000,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 580 (0)","IntegrationKernel(int, float, float, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *, float volatile *)",3000,"local_replay_overhead","Local Memory Cache Replay Overhead",0.000000,0.000000,0.000000
