   io-test:		1395.386000ms
=====start map/reduce=====
** init GPU
----------start map-----------
** Map Input: keys buf size 4000000 bytes, vals buf size 4000000 bytes, index buf size 16000000 bytes, 1000000 records
** Upload map input data onto device memory
 PCI-E I/O:		20.002000ms
** MapCount
** Do prefix sum on intermediate data's size

** Map Output: keys buf size 4000000 bytes, vals buf size 4000000 bytes, index buf size 16000000 bytes, 1000000 records
** Allocate intermediate memory on device memory
** Map
       Map:		490.029000ms
----------start group-----------
** Sort for group
** InterRecordCount:1000000, number of groups: 999770
     Group:		7071.935000ms
count: 2147481774, offset: 17775860
count: 2147481479, offset: 18621658
count: 2147475321, offset: 33549678
count: 2147470412, offset: 28177705
count: 2147470260, offset: 33814876
count: 2147469268, offset: 1652391
count: 2147469135, offset: 18168522
count: 2147466276, offset: 26737658
count: 2147465732, offset: 12328357
count: 2147464520, offset: 22486834
=====finish map/reduce=====
  all-test:		9247.370000ms
==3820== NVPROF is profiling process 3820, command: Mars_PageViewRank.exe Mars_inputs\\PageViewRank\\data
==3820== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3820== Profiling application: Mars_PageViewRank.exe Mars_inputs\\PageViewRank\\data
==3820== Profiling result:
==3820== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 580 (0)","initialize_kernel(int4*, int, int, int4)",4,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 580 (0)","initialize_kernel(int4*, int, int, int4)",4,"inst_executed","Instructions Executed",630784,630784,630784
"GeForce GTX 580 (0)","initialize_kernel(int4*, int, int, int4)",4,"atomic_replay_overhead","Atomic Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 580 (0)","initialize_kernel(int4*, int, int, int4)",4,"inst_replay_overhead","Instruction Replay Overhead",0.071378,0.076581,0.074814
"GeForce GTX 580 (0)","initialize_kernel(int4*, int, int, int4)",4,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 580 (0)","initialize_kernel(int4*, int, int, int4)",4,"local_replay_overhead","Local Memory Cache Replay Overhead",0.070091,0.073217,0.071826
"GeForce GTX 580 (0)","initialize_kernel(int4*, int, int, int4)",4,"cf_issued","Issued Control-Flow Instructions",57344,57344,57344
"GeForce GTX 580 (0)","initialize_kernel(int4*, int, int, int4)",4,"cf_executed","Executed Control-Flow Instructions",57344,57344,57344
"GeForce GTX 580 (0)","initialize_kernel(int4*, int, int, int4)",4,"inst_issued","Instructions Issued",675808,679090,677975
"GeForce GTX 580 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",78,"branch_efficiency","Branch Efficiency",98.898051%,99.999425%,99.692310%
"GeForce GTX 580 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",78,"inst_executed","Instructions Executed",4970204,5078938,5019414
"GeForce GTX 580 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",78,"atomic_replay_overhead","Atomic Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 580 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",78,"inst_replay_overhead","Instruction Replay Overhead",0.276905,0.962692,0.684372
"GeForce GTX 580 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",78,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.042720,0.225793,0.192429
"GeForce GTX 580 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",78,"local_replay_overhead","Local Memory Cache Replay Overhead",0.167987,0.176640,0.171928
"GeForce GTX 580 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",78,"cf_issued","Issued Control-Flow Instructions",579017,617966,586589
"GeForce GTX 580 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",78,"cf_executed","Executed Control-Flow Instructions",579017,617966,586589
"GeForce GTX 580 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",78,"inst_issued","Instructions Issued",6441364,9922999,8454585
"GeForce GTX 580 (0)","copyChunks_kernel(void*, int, int2*, int, int*, void*)",32,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 580 (0)","copyChunks_kernel(void*, int, int2*, int, int*, void*)",32,"inst_executed","Instructions Executed",140606,296960,287187
"GeForce GTX 580 (0)","copyChunks_kernel(void*, int, int2*, int, int*, void*)",32,"atomic_replay_overhead","Atomic Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 580 (0)","copyChunks_kernel(void*, int, int2*, int, int*, void*)",32,"inst_replay_overhead","Instruction Replay Overhead",1.520234,2.769585,2.651589
"GeForce GTX 580 (0)","copyChunks_kernel(void*, int, int2*, int, int*, void*)",32,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.475143,0.910964,0.871522
"GeForce GTX 580 (0)","copyChunks_kernel(void*, int, int2*, int, int*, void*)",32,"local_replay_overhead","Local Memory Cache Replay Overhead",0.015134,0.030213,0.028140
"GeForce GTX 580 (0)","copyChunks_kernel(void*, int, int2*, int, int*, void*)",32,"cf_issued","Issued Control-Flow Instructions",20166,36864,35820
"GeForce GTX 580 (0)","copyChunks_kernel(void*, int, int2*, int, int*, void*)",32,"cf_executed","Executed Control-Flow Instructions",20166,36864,35820
"GeForce GTX 580 (0)","copyChunks_kernel(void*, int, int2*, int, int*, void*)",32,"inst_issued","Instructions Issued",354360,1119416,1059699
"GeForce GTX 580 (0)","unitBitonicSortKernel(void*, int, int4*, unsigned int, int)",16,"branch_efficiency","Branch Efficiency",81.979159%,88.967919%,82.418509%
"GeForce GTX 580 (0)","unitBitonicSortKernel(void*, int, int4*, unsigned int, int)",16,"inst_executed","Instructions Executed",13812132,18459065,18168014
"GeForce GTX 580 (0)","unitBitonicSortKernel(void*, int, int4*, unsigned int, int)",16,"atomic_replay_overhead","Atomic Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 580 (0)","unitBitonicSortKernel(void*, int, int4*, unsigned int, int)",16,"inst_replay_overhead","Instruction Replay Overhead",0.263153,0.329428,0.270163
"GeForce GTX 580 (0)","unitBitonicSortKernel(void*, int, int4*, unsigned int, int)",16,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.003734,0.008219,0.007715
"GeForce GTX 580 (0)","unitBitonicSortKernel(void*, int, int4*, unsigned int, int)",16,"local_replay_overhead","Local Memory Cache Replay Overhead",0.183184,0.207555,0.190948
"GeForce GTX 580 (0)","unitBitonicSortKernel(void*, int, int4*, unsigned int, int)",16,"cf_issued","Issued Control-Flow Instructions",2221217,2433150,2419849
"GeForce GTX 580 (0)","unitBitonicSortKernel(void*, int, int4*, unsigned int, int)",16,"cf_executed","Executed Control-Flow Instructions",2221217,2433150,2419849
"GeForce GTX 580 (0)","unitBitonicSortKernel(void*, int, int4*, unsigned int, int)",16,"inst_issued","Instructions Issued",18362238,23422245,23059129
"GeForce GTX 580 (0)","Mapper(char*, char*, int4*, int*, int*, int*, int2*, char*, char*, int4*, int*, int, int, int)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
