   io-test:		1796.045000ms
=====start map/reduce=====
** init GPU
----------start map-----------
** Map Input: keys buf size 4000000 bytes, vals buf size 4000000 bytes, index buf size 16000000 bytes, 1000000 records
** Upload map input data onto device memory
 PCI-E I/O:		20.005000ms
** MapCount
** Do prefix sum on intermediate data's size

** Map Output: keys buf size 4000000 bytes, vals buf size 4000000 bytes, index buf size 16000000 bytes, 1000000 records
** Allocate intermediate memory on device memory
** Map
       Map:		830.157000ms
----------start group-----------
** Sort for group
** InterRecordCount:1000000, number of groups: 999770
     Group:		11394.456000ms
count: 2147481774, offset: 17775860
count: 2147481479, offset: 18621658
count: 2147475321, offset: 33549678
count: 2147470412, offset: 28177705
count: 2147470260, offset: 33814876
count: 2147469268, offset: 1652391
count: 2147469135, offset: 18168522
count: 2147466276, offset: 26737658
count: 2147465732, offset: 12328357
count: 2147464520, offset: 22486834
=====finish map/reduce=====
  all-test:		14300.678000ms
======== Warning: Metric "branch_efficiency" cannot be found on device 0.
==5824== NVPROF is profiling process 5824, command: Mars_PageViewRank.exe Mars_inputs\\PageViewRank\\data
==5824== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==5824== Profiling application: Mars_PageViewRank.exe Mars_inputs\\PageViewRank\\data
==5824== Profiling result:
==5824== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 780 (0)","initialize_kernel(int4*, int, int, int4)",4,"inst_replay_overhead","Instruction Replay Overhead",0.285063,0.363015,0.307601
"GeForce GTX 780 (0)","initialize_kernel(int4*, int, int, int4)",4,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 780 (0)","initialize_kernel(int4*, int, int, int4)",4,"local_replay_overhead","Local Memory Cache Replay Overhead",0.072583,0.075078,0.074032
"GeForce GTX 780 (0)","initialize_kernel(int4*, int, int, int4)",4,"cf_issued","Issued Control-Flow Instructions",115456,115456,115456
"GeForce GTX 780 (0)","initialize_kernel(int4*, int, int, int4)",4,"cf_executed","Executed Control-Flow Instructions",106496,106496,106496
"GeForce GTX 780 (0)","initialize_kernel(int4*, int, int, int4)",4,"inst_executed","Instructions Executed",630784,630784,630784
"GeForce GTX 780 (0)","initialize_kernel(int4*, int, int, int4)",4,"inst_issued","Instructions Issued",810597,859768,824813
"GeForce GTX 780 (0)","initialize_kernel(int4*, int, int, int4)",4,"atomic_replay_overhead","Atomic Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 780 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",78,"inst_replay_overhead","Instruction Replay Overhead",0.609425,1.362876,0.923467
"GeForce GTX 780 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",78,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 780 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",78,"local_replay_overhead","Local Memory Cache Replay Overhead",0.174963,0.180503,0.179038
"GeForce GTX 780 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",78,"cf_issued","Issued Control-Flow Instructions",776393,815342,783965
"GeForce GTX 780 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",78,"cf_executed","Executed Control-Flow Instructions",685513,716270,691825
