load matrice...
=====start map/reduce=====
** init GPU
----------start map-----------
** Map Input: keys buf size 2095104 bytes, vals buf size 8380416 bytes, index buf size 8380416 bytes, 523776 records
** Upload map input data onto device memory
 PCI-E I/O:		20.000000ms
** MapCount
** Do prefix sum on intermediate data's size

** Map Output: keys buf size 2095104 bytes, vals buf size 4190208 bytes, index buf size 8380416 bytes, 523776 records
** Allocate intermediate memory on device memory
** Map
       Map:		480.044000ms
----------start group-----------
** Sort for group
** InterRecordCount:523776, number of groups: 316837
     Group:		3475.350000ms
  all-test:		4475.422000ms
=====finish map/reduce=====
==1580== NVPROF is profiling process 1580, command: Mars_SimilarityScore.exe 1024 256
==1580== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1580== Profiling application: Mars_SimilarityScore.exe 1024 256
==1580== Profiling result:
==1580== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 580 (0)","initialize_kernel(int4*, int, int, int4)",2,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 580 (0)","initialize_kernel(int4*, int, int, int4)",2,"inst_executed","Instructions Executed",630784,630784,630784
"GeForce GTX 580 (0)","initialize_kernel(int4*, int, int, int4)",2,"atomic_replay_overhead","Atomic Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 580 (0)","initialize_kernel(int4*, int, int, int4)",2,"inst_replay_overhead","Instruction Replay Overhead",0.072378,0.073819,0.073099
"GeForce GTX 580 (0)","initialize_kernel(int4*, int, int, int4)",2,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 580 (0)","initialize_kernel(int4*, int, int, int4)",2,"local_replay_overhead","Local Memory Cache Replay Overhead",0.069678,0.071352,0.070515
"GeForce GTX 580 (0)","initialize_kernel(int4*, int, int, int4)",2,"cf_issued","Issued Control-Flow Instructions",57344,57344,57344
"GeForce GTX 580 (0)","initialize_kernel(int4*, int, int, int4)",2,"cf_executed","Executed Control-Flow Instructions",57344,57344,57344
"GeForce GTX 580 (0)","initialize_kernel(int4*, int, int, int4)",2,"inst_issued","Instructions Issued",676439,677348,676893
"GeForce GTX 580 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",66,"branch_efficiency","Branch Efficiency",98.829033%,99.998442%,99.673675%
"GeForce GTX 580 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",66,"inst_executed","Instructions Executed",2664772,2701104,2674060
"GeForce GTX 580 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",66,"atomic_replay_overhead","Atomic Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 580 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",66,"inst_replay_overhead","Instruction Replay Overhead",0.286812,0.911327,0.648327
"GeForce GTX 580 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",66,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.042462,0.222542,0.183843
