load matrice...
=====start map/reduce=====
** init GPU
----------start map-----------
** Map Input: keys buf size 2095104 bytes, vals buf size 8380416 bytes, index buf size 8380416 bytes, 523776 records
** Upload map input data onto device memory
 PCI-E I/O:		9.998000ms
** MapCount
** Do prefix sum on intermediate data's size

** Map Output: keys buf size 2095104 bytes, vals buf size 4190208 bytes, index buf size 8380416 bytes, 523776 records
** Allocate intermediate memory on device memory
** Map
       Map:		691.066000ms
----------start group-----------
** Sort for group
** InterRecordCount:523776, number of groups: 319228
     Group:		6104.052000ms
  all-test:		7195.142000ms
=====finish map/reduce=====
======== Warning: Metric "branch_efficiency" cannot be found on device 0.
==3532== NVPROF is profiling process 3532, command: Mars_SimilarityScore.exe 1024 256
==3532== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3532== Profiling application: Mars_SimilarityScore.exe 1024 256
==3532== Profiling result:
==3532== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 780 (0)","initialize_kernel(int4*, int, int, int4)",2,"inst_replay_overhead","Instruction Replay Overhead",0.291601,0.354397,0.322999
"GeForce GTX 780 (0)","initialize_kernel(int4*, int, int, int4)",2,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 780 (0)","initialize_kernel(int4*, int, int, int4)",2,"local_replay_overhead","Local Memory Cache Replay Overhead",0.073069,0.074458,0.073764
"GeForce GTX 780 (0)","initialize_kernel(int4*, int, int, int4)",2,"cf_issued","Issued Control-Flow Instructions",115456,115456,115456
"GeForce GTX 780 (0)","initialize_kernel(int4*, int, int, int4)",2,"cf_executed","Executed Control-Flow Instructions",106496,106496,106496
"GeForce GTX 780 (0)","initialize_kernel(int4*, int, int, int4)",2,"inst_executed","Instructions Executed",630784,630784,630784
"GeForce GTX 780 (0)","initialize_kernel(int4*, int, int, int4)",2,"inst_issued","Instructions Issued",814721,854332,834526
"GeForce GTX 780 (0)","initialize_kernel(int4*, int, int, int4)",2,"atomic_replay_overhead","Atomic Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 780 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",66,"inst_replay_overhead","Instruction Replay Overhead",0.598778,1.205584,0.834251
"GeForce GTX 780 (0)","bitonicKernel(void*, int, int4*, unsigned int, int, int)",66,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.000000,0.000000,0.000000
